Ticker,mkt_cap,pb_ratio,beta,profit_margin,roa,roe
CTXS,,,0.26,24.11%,10.05%,372.61%
CB,,,,,,
CLX,,,0.26,13.97%,13.86%,128.02%
CME,,,0.31,46.50%,1.95%,8.91%
CSCO,,,,,,
CMS,,,0.21,11.33%,3.27%,14.89%
KO,,,0.55,26.77%,6.59%,46.64%
CL,,,0.59,16.13%,16.30%,756.79%
CTSH,,,1.21,9.67%,10.33%,15.05%
CMCSA,,,0.99,10.91%,4.80%,14.19%
CAG,,,0.79,7.60%,5.09%,10.92%
CXO,,,1.83,-272.89%,-29.15%,-74.38%
COP,,,1.63,9.15%,2.60%,7.37%
ED,,,0.21,10.86%,2.79%,7.77%
CMA,,,,,,
STZ,,,0.90,0.68%,6.11%,0.72%
COO,,,0.88,13.50%,4.30%,9.57%
CTVA,,,N/A,3.68%,1.55%,1.88%
COST,,,0.69,2.31%,6.82%,23.51%
COTY,,,0.97,-21.34%,-1.34%,-24.04%
GLW,,,1.17,1.89%,1.70%,1.58%
CPRT,,,1.13,30.95%,18.08%,35.28%
CCI,,,0.35,14.51%,2.50%,7.84%
CSX,,,1.21,26.39%,7.19%,23.69%
CMI,,,1.18,8.46%,5.76%,19.75%
DRI,,,1.30,-0.67%,2.31%,-2.08%
DVA,,,1.23,7.20%,5.81%,23.14%
DHI,,,1.65,10.82%,9.59%,19.42%
DHR,,,0.89,18.35%,3.31%,8.60%
XRAY,,,1.03,-1.40%,2.32%,-0.98%
DXCM,,,0.78,11.93%,6.15%,20.05%
FANG,,,2.17,-86.03%,3.29%,-21.22%
DAL,,,1.18,-10.74%,0.82%,-32.29%
DVN,,,3.27,-51.55%,1.93%,-43.18%
DE,,,0.98,7.61%,3.30%,21.58%
CVS,,,,,,
DISCA,,,1.49,12.86%,5.91%,12.91%
DFS,,,1.84,17.76%,0.93%,9.93%
DISCK,,,1.49,12.86%,5.91%,12.91%
DISH,,,1.70,9.90%,4.05%,12.13%
DPZ,,,0.38,12.11%,30.26%,N/A
DLR,,,,,,
DOV,,,1.37,9.99%,6.89%,22.34%
DLTR,,,0.62,3.61%,5.86%,14.00%
D,,,0.41,3.24%,3.60%,2.11%
DOW,,,N/A,-5.05%,2.92%,-12.17%
DTE,,,0.62,10.13%,2.80%,10.72%
DRE,,,0.67,39.30%,2.00%,7.70%
DUK,,,0.34,8.97%,2.23%,4.21%
DD,,,1.47,-12.31%,2.24%,-6.28%
DG,,,,,,
DXC,,,2.41,-29.90%,2.52%,-70.86%
EMN,,,1.67,6.64%,4.23%,9.70%
ETN,,,1.15,8.03%,3.98%,10.11%
ETFC,,,1.25,28.43%,1.25%,12.02%
EBAY,,,1.38,44.84%,8.09%,59.96%
EIX,,,0.50,8.93%,2.42%,7.60%
ECL,,,0.95,-5.91%,6.98%,19.83%
EW,,,0.88,17.21%,12.99%,20.26%
EA,,,0.93,34.27%,8.94%,27.80%
