,Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
76,AVGO,127.39,5.32,0.95,0.107,0.0342,0.11019999999999999
77,BR,14.49,12.08,0.87,0.10210000000000001,0.0891,0.3739
78,CHRW,10.65,6.71,0.64,0.031,0.0836,0.2783
79,COG,6.85,3.16,0.21,0.20879999999999999,0.0576,0.1426
80,CDNS,26.75,12.4,1.08,0.41729999999999995,0.1005,0.5513
81,CPB,14.98,5.82,0.41,0.1873,0.0629,0.32159999999999994
82,COF,28.56,0.5,1.77,0.016399999999999998,0.0006,0.0045000000000000005
83,CAH,15.29,12.71,0.96,-0.0242,0.027200000000000002,-0.9094
84,KMX,14.32,3.8,1.74,0.0325,0.0271,0.1783
85,CCL,12.31,0.49,1.95,-0.1753,0.005699999999999999,-0.1313
86,CARR,19.25,7.14,,0.075,,
87,CAT,68.5,4.83,1.11,0.08900000000000001,0.0493,0.2892
88,CBOE,10.14,3.06,0.5,0.1512,0.0861,0.14
89,CBRE,15.16,2.47,1.63,0.0472,0.051699999999999996,0.1975
90,CDW,16.57,18.62,1.2,0.0409,0.085,0.7474
91,CE,10.21,4.17,1.37,0.11130000000000001,0.049100000000000005,0.2133
92,CNC,36.82,1.56,0.61,0.018000000000000002,0.0462,0.0825
93,CNP,10.17,1.94,0.97,-0.054900000000000004,0.0304,-0.0506
94,CTL,11.0,0.83,1.02,0.0552,0.038,0.08960000000000001
95,CERN,20.93,5.42,0.8,0.09230000000000001,0.0629,0.1186
96,CF,6.02,2.21,1.16,0.08869999999999999,0.0395,0.0908
97,SCHW,43.47,1.85,1.17,0.3148,0.0097,0.12539999999999998
98,CHTR,104.51,3.53,1.06,0.048499999999999995,0.031400000000000004,0.0662
99,CVX,166.62,1.16,1.22,-0.0757,-0.002,-0.0602
100,CMG,29.43,17.6,1.25,0.0455,0.040999999999999995,0.1576
101,CB,57.15,1.09,0.65,0.0634,0.0105,0.04019999999999999
102,CHD,19.09,6.78,0.39,0.157,0.0877,0.25739999999999996
103,CI,69.09,1.53,0.67,0.034,0.0366,0.1159
104,CINF,10.3,1.28,0.57,0.0861,0.0175,0.060599999999999994
105,CTAS,25.8,7.71,1.5,0.12359999999999999,0.09699999999999999,0.281
106,CSCO,199.56,5.59,0.82,0.2275,0.0916,0.31370000000000003
107,C,106.38,0.61,1.74,0.2324,0.006500000000000001,0.0707
108,CFG,10.77,0.53,1.79,0.2193,0.0069,0.053399999999999996
109,CTXS,18.27,,0.19,0.24109999999999998,0.1005,3.7261
110,CLX,27.63,39.83,0.22,0.13970000000000002,0.1386,1.2802
111,CME,58.15,2.19,0.32,0.465,0.0195,0.0891
112,CMS,16.73,3.23,0.14,0.1133,0.0327,0.1489
113,KO,191.9,10.57,0.55,0.2677,0.0659,0.4664
114,CTSH,30.8,2.9,1.21,0.0967,0.1033,0.1505
115,CL,62.81,,0.56,0.1613,0.163,7.5679
116,CMCSA,178.06,2.18,0.96,0.1091,0.048,0.1419
117,CMA,5.3,0.72,1.83,0.2409,0.0078000000000000005,0.0805
118,CAG,16.95,2.16,0.78,0.076,0.0509,0.1092
119,CXO,10.13,1.21,1.86,-2.7289,-0.2915,-0.7437999999999999
120,COP,45.07,1.44,1.64,0.0915,0.026000000000000002,0.0737
121,ED,24.02,1.32,0.16,0.10859999999999999,0.0279,0.07769999999999999
122,STZ,33.42,2.75,0.97,0.0068000000000000005,0.0611,0.0072
123,COO,13.89,3.83,0.89,0.114,0.0404,0.0754
124,CPRT,21.89,9.6,1.15,0.3173,0.1699,0.32799999999999996
125,GLW,19.66,1.99,1.14,0.0189,0.017,0.0158
126,CTVA,20.05,0.84,,0.0368,0.0155,0.018799999999999997
127,COST,136.2,8.11,0.69,0.0231,0.0682,0.2351
128,COTY,3.41,0.92,1.08,-0.2134,-0.0134,-0.2404
129,CCI,69.78,6.9,0.34,0.1451,0.025,0.0784
130,CSX,53.35,4.49,1.16,0.2639,0.0719,0.2369
131,CMI,25.59,3.62,1.18,0.08460000000000001,0.0576,0.1975
132,CVS,84.92,1.3,0.65,0.031400000000000004,0.0382,0.1273
133,DHI,20.16,1.93,1.71,0.1082,0.0959,0.1942
134,DHR,125.27,4.25,0.86,0.18350000000000002,0.0331,0.086
135,DRI,9.98,4.26,1.34,-0.0067,0.0231,-0.0208
136,DVA,9.65,4.96,1.21,0.07200000000000001,0.0581,0.2314
137,DE,55.16,4.65,1.0,0.0761,0.033,0.2158
138,DAL,17.89,1.25,1.32,-0.1074,0.008199999999999999,-0.32289999999999996
139,XRAY,9.62,2.05,1.0,-0.013999999999999999,0.0232,-0.0098
140,DVN,4.34,1.11,3.26,-0.5155,0.019299999999999998,-0.4318
141,DXCM,38.68,41.39,0.81,0.1193,0.061500000000000006,0.2005
142,FANG,6.6,0.51,2.19,-0.8603000000000001,0.0329,-0.2122
143,DLR,38.14,2.54,0.21,0.2116,0.0121,0.051100000000000007
144,DFS,15.35,1.69,1.87,0.1776,0.009300000000000001,0.0993
145,DISCA,10.19,1.13,1.4,0.1286,0.0591,0.1291
146,DISCK,10.19,1.03,1.4,0.1286,0.0591,0.1291
147,DISH,18.1,1.55,1.73,0.099,0.0405,0.1213
148,DG,47.42,6.58,0.48,0.0748,0.0818,0.3317
149,DLTR,22.15,3.4,0.62,0.0361,0.0584,0.14
150,D,68.19,2.41,0.38,0.032400000000000005,0.036000000000000004,0.021099999999999997
151,DPZ,15.09,,0.34,0.1211,0.30260000000000004,
152,DOV,13.9,4.66,1.4,0.0999,0.0689,0.2234
153,DOW,30.21,2.34,,-0.050499999999999996,0.0292,-0.1217
154,DTE,20.71,1.75,0.61,0.1013,0.027999999999999997,0.1072
155,DUK,58.72,1.31,0.28,0.0897,0.0223,0.0421
156,DRE,13.11,2.64,0.57,0.39299999999999996,0.02,0.077
157,DD,38.99,0.99,1.48,-0.1231,0.022400000000000003,-0.06280000000000001
158,DXC,4.19,0.88,2.48,-0.299,0.0252,-0.7086
159,ETFC,10.99,1.89,1.24,0.2843,0.0125,0.1202
160,EMN,9.43,1.54,1.63,0.0664,0.042300000000000004,0.09699999999999999
161,ETN,35.0,2.46,1.17,0.0803,0.0398,0.1011
162,EBAY,36.98,17.48,1.35,0.4484,0.0809,0.5996
163,ECL,56.78,6.44,0.94,-0.0591,0.0698,0.19829999999999998
164,EIX,20.54,1.54,0.45,0.08929999999999999,0.0242,0.076
165,EW,42.94,11.01,0.87,0.1721,0.12990000000000002,0.2026
166,EA,38.18,5.12,0.87,0.3427,0.0894,0.278
167,EMR,37.07,4.93,1.51,0.1139,0.0819,0.2379
168,ETR,18.78,1.84,0.51,0.1177,0.0226,0.1188
169,EOG,29.5,1.37,1.93,0.026699999999999998,0.010700000000000001,0.0172
