Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
HPE,18010.0,1.05,1.34,0.042199999999999994,0.031,0.0677
HLT,18910.0,,1.26,0.2078,0.058499999999999996,
HFC,3970.0,0.66,1.77,0.0126,0.0346,0.047599999999999996
HOLX,9060.0,4.03,1.44,0.1362,0.0582,0.2122
HD,236120.0,,1.03,0.102,0.2079,
HON,93900.0,5.08,1.07,0.17379999999999998,0.08199999999999999,0.3475
HRL,25400.0,4.29,-0.07,0.10289999999999999,0.085,0.16620000000000001
HST,7780.0,1.06,1.32,0.1421,0.0285,0.0999
HWM,7000.0,1.54,1.6,0.0359,0.0553,0.0998
HPQ,30560.0,,1.05,0.0516,0.0863,
HUM,41520.0,3.45,0.91,0.038599999999999995,0.0688,0.2254
HBAN,8330.0,0.79,1.56,0.2735,0.009899999999999999,0.0949
HII,7380.0,4.65,1.11,0.0664,0.0713,0.3762
IEX,10400.0,4.6,1.05,0.16920000000000002,0.099,0.1948
IDXX,20570.0,115.92,0.8,0.1778,0.2023,5.4643
INFO,28480.0,3.38,1.0,0.1974,0.0364,0.1045
ITW,44900.0,14.84,1.17,0.18059999999999998,0.1419,0.9081
ILMN,40100.0,8.69,0.95,0.26489999999999997,0.0864,0.2148
INCY,15890.0,6.11,1.05,-0.16870000000000002,-0.07200000000000001,-0.1869
IR,10330.0,5.52,1.5,0.0286,0.0189,0.0143
INTC,229140.0,2.95,0.82,0.3002,0.1148,0.3031
ICE,44250.0,2.56,0.54,0.3823,0.0158,0.1241
IBM,98490.0,4.73,1.24,0.11779999999999999,0.043,0.491
IP,12230.0,1.59,1.37,0.029900000000000003,0.042,0.0911
IPG,6310.0,2.27,1.08,0.07780000000000001,0.0426,0.2615
IFF,10900.0,1.75,1.1,0.0909,0.039,0.078
INTU,73040.0,20.11,1.04,0.2289,0.1985,0.5001
ISRG,57740.0,6.99,0.91,0.3011,0.09699999999999999,0.1791
IVZ,4170.0,0.42,1.5,0.1002,0.029500000000000002,0.056600000000000004
IPGP,5860.0,2.44,1.69,0.1293,0.057999999999999996,0.0701
IQV,20600.0,3.43,1.32,0.019299999999999998,0.0233,0.039599999999999996
IRM,6850.0,4.68,0.71,0.0705,0.0375,0.2004
JKHY,11890.0,8.0,0.59,0.1764,0.11410000000000001,0.2016
J,10300.0,1.72,0.98,0.0623,0.038,0.0349
JBHT,9730.0,4.29,0.95,0.0536,0.0883,0.2236
SJM,11810.0,1.46,0.17,0.0821,0.0441,0.07719999999999999
JNJ,345190.0,5.8,0.72,0.2075,0.0883,0.28550000000000003
JCI,20050.0,1.04,1.18,0.218,0.0269,0.0647
JPM,274320.0,1.17,1.18,0.2942,0.0102,0.11560000000000001
JNPR,6340.0,1.37,0.95,0.0753,0.0341,0.0723
KSU,12080.0,2.74,,0.2011,0.0723,0.11900000000000001
K,20560.0,7.48,0.59,0.0761,0.059000000000000004,0.33030000000000004
KEY,10110.0,0.67,1.53,0.2614,0.0097,0.0868
KEYS,17460.0,5.81,1.09,0.1525,0.0808,0.2316
KMB,43580.0,,0.51,0.1255,0.1392,
KIM,4180.0,0.86,1.21,0.3333,0.025099999999999997,0.0751
KMI,31480.0,0.93,1.02,0.10310000000000001,0.0322,0.0398
KLAC,22290.0,8.35,1.35,0.1826,0.11460000000000001,0.3923
KSS,2870.0,0.53,1.75,0.0346,0.056100000000000004,0.1259
KHC,30230.0,0.59,1.02,0.0758,0.032,0.0371
KR,21500.0,2.41,0.37,0.013600000000000001,0.0393,0.1843
LHX,39070.0,1.73,0.75,0.0755,,
LH,12270.0,1.62,1.37,0.0277,0.0508,0.0455
LRCX,34840.0,7.89,1.34,0.2181,0.12269999999999999,0.4267
LW,12690.0,63.1,0.85,0.121,0.12869999999999998,4.4622
LVS,32450.000000000004,6.26,1.62,0.17809999999999998,0.0825,0.4218
LEG,3530.0,2.69,1.62,0.06860000000000001,0.06309999999999999,0.26170000000000004
LDOS,13000.0,3.81,1.16,0.052000000000000005,0.0557,0.1791
LEN,18390.0,1.18,1.51,0.0877,0.055999999999999994,0.1283
LLY,132750.0,50.92,0.26,0.2397,0.1025,1.9205
LNC,5090.0,0.26,2.24,0.0387,0.0024,0.0416
LIN,90850.0,1.85,0.71,0.08349999999999999,0.0258,0.04650000000000001
LYV,9630.0,8.4,1.11,-0.005600000000000001,0.012199999999999999,-0.023
LKQ,6230.0,1.24,1.66,0.047400000000000005,0.0496,0.1198
LMT,94570.0,30.24,0.98,0.10210000000000001,0.10099999999999999,2.0779
L,10140.0,0.51,0.77,-0.0066,0.0073,-0.0277
LOW,79080.0,40.1,1.36,0.0593,0.1112,1.5246000000000002
LYB,16560.0,2.06,1.54,0.0812,0.0721,0.3071
MTB,13270.0,0.92,1.25,0.3012,0.013999999999999999,0.1092
MRO,2600.0,0.21,3.46,0.0528,0.018000000000000002,0.0215
MPC,15350.0,0.46,2.2,-0.054400000000000004,0.02,-0.18989999999999999
MKTX,12610.0,16.37,0.61,0.40869999999999995,0.1986,0.318
MAR,24250.0,34.5,1.64,0.1858,0.0436,1.1737
MMC,43740.0,5.61,0.86,0.1033,0.07339999999999999,0.2349
MLM,11770.0,2.2,0.92,0.1341,0.0533,0.1158
MAS,9120.0,,1.44,0.1991,0.1307,
MA,242530.0,41.15,1.06,0.4675,0.2232,1.4774
MKC,19420.0,5.64,0.32,0.1313,0.059800000000000006,0.2022
MXIM,13010.0,7.53,1.32,0.37,0.11699999999999999,0.4965
MCD,122950.0,,0.68,0.27949999999999997,0.1107,
MCK,21850.0,3.54,0.81,-0.0040999999999999995,0.0292,-0.07429999999999999
MDT,154780.0,3.06,0.7,0.1741,0.048600000000000004,0.10679999999999999
MRK,194200.0,7.5,0.51,0.21100000000000002,0.1176,0.37549999999999994
MET,27740.0,0.42,1.34,0.1245,0.0101,0.1382
MTD,16510.0,39.23,1.05,0.1838,0.16449999999999998,1.2610999999999999
MGM,5810.0,0.75,2.23,0.2445,0.0148,0.22820000000000001
MCHP,16590.0,2.95,1.6,0.1082,0.025699999999999997,0.105
MU,58450.0,1.6,,,,
MSFT,1200000.0,10.87,0.95,0.3336,0.1184,0.442
MAA,11770.0,1.94,0.66,0.1971,0.024399999999999998,0.054000000000000006
MHK,5430.0,0.67,1.52,0.0747,0.0417,0.0951
TAP,8460.0,0.63,0.91,-0.0026,0.027000000000000003,-0.0014000000000000002
MDLZ,71480.0,2.62,0.63,0.1425,0.04,0.1442
MNST,29640.0,7.11,0.99,0.2606,0.19140000000000001,0.2973
MCO,39660.0,64.8,1.17,0.30879999999999996,0.1321,2.7292
MS,53570.0,0.73,1.45,0.2046,0.009399999999999999,0.1011
MOS,4100.0,0.45,1.69,-0.1591,0.0058,-0.1471
MSI,23350.0,,0.7,0.1159,0.1041,
MSCI,24190.0,,0.97,0.3328,0.1389,
MYL,7710.0,0.65,1.55,0.0054,0.0334,0.0054
NDAQ,15600.0,2.77,0.75,0.1595,0.0489,0.134
NOV,3820.0,0.49,1.82,-0.9576,-0.0191,-0.8319
NTAP,11850.0,22.12,1.29,0.1819,0.0758,1.3478999999999999
NFLX,165140.0,21.78,0.97,0.1043,0.0623,0.31629999999999997
NWL,5630.0,1.13,1.05,-0.1069,0.031400000000000004,-0.2408
NEM,36310.0,1.7,0.4,0.33659999999999995,0.038900000000000004,0.21280000000000002
NWSA,5280.0,0.59,1.42,-0.0966,0.0184,-0.1247
NWS,5280.0,0.59,1.42,-0.0966,0.0184,-0.1247
NEE,117770.0,3.18,0.21,0.1778,0.0331,0.0782
NLSN,4470.0,2.04,1.24,-0.0733,0.0308,-0.17739999999999997
NKE,139200.0,14.86,0.76,0.10460000000000001,0.1318,0.4796
NI,9560.0,1.87,0.24,0.048499999999999995,0.0379,0.0416
NBL,2900.0,0.34,2.65,-1.1743000000000001,-0.027999999999999997,-0.6692
JWN,5720.0,6.72,1.42,0.032,0.0579,0.5356000000000001
NSC,37400.0,2.46,1.39,0.2189,0.0679,0.1606
NTRS,15700.0,1.6,1.1,0.2455,0.0106,0.1401
NOC,50560.0,5.73,0.81,0.06570000000000001,0.0463,0.2531
NLOK,11230.0,1.29,1.16,1.561,0.032799999999999996,0.2011
NCLH,2350.0,0.36,2.77,-0.16949999999999998,0.031400000000000004,-0.20800000000000002
NRG,6700.0,4.04,1.07,0.4214,0.0738,518.375
NUE,10850.0,1.05,1.47,0.035699999999999996,0.058899999999999994,0.0848
NVDA,179790.0,14.73,1.33,0.2561,0.1162,0.2595
NVR,9440.0,4.03,1.01,0.1183,0.17120000000000002,0.40130000000000005
ORLY,22340.0,56.22,1.05,0.1341,0.11230000000000001,5.6953
OXY,10420.0,0.43,2.02,-0.1452,0.0172,-0.12
ODFL,15690.0,5.03,1.02,0.1499,0.13470000000000001,0.2127
OMC,11920.0,4.18,0.77,0.08960000000000001,0.0528,0.449
OKE,9030.0,1.45,2.08,0.084,0.059699999999999996,0.1332
ORCL,158650.0,10.05,0.88,0.2706,0.0861,0.5501
OTIS,21660.0,12.74,,0.0776,,
PCAR,21130.0,2.18,1.14,0.0873,0.0625,0.226
PKG,8230.0,2.68,1.3,0.09390000000000001,0.0885,0.2191
PH,16630.0,2.63,1.65,0.0931,0.0719,0.215
PAYX,27770.0,10.82,0.94,0.2698,0.0933,0.41350000000000003
PAYC,11640.0,22.1,1.54,0.25170000000000003,0.0723,0.3933
PYPL,112300.0,6.65,1.11,0.1027,0.0326,0.1204
PNR,4930.0,2.52,1.26,0.1266,0.0662,0.203
PBCT,4690.0,0.61,1.28,0.28559999999999997,0.009899999999999999,0.0747
PEP,166820.0,11.28,0.61,0.10619999999999999,0.0832,0.5228
PKI,8380.0,2.98,1.34,0.0782,0.0387,0.0837
PRGO,7030.0,1.22,1.2,0.0377,0.0263,0.032799999999999996
PFE,181220.0,2.87,0.71,0.31170000000000003,0.057800000000000004,0.2541
PM,113610.0,,0.81,0.2535,0.1917,
PSX,23430.0,0.94,1.6,0.0036,0.0408,0.027000000000000003
PNW,8530.0,1.57,0.35,0.16219999999999998,0.0235,0.1038
PXD,11570.0,0.95,1.79,0.0736,0.0707,0.056900000000000006
PNC,40590.0,0.82,1.26,0.3029,0.0121,0.1035
PPG,19720.0,3.73,1.24,0.0788,0.0626,0.2437
PPL,18960.0,1.46,0.78,0.2368,0.0438,0.14429999999999998
PFG,8570.0,0.59,1.62,0.0736,0.0037,0.09630000000000001
PG,271640.0,6.1,0.42,0.0709,0.08349999999999999,0.1001
PGR,43220.0,3.28,0.52,0.0919,0.0554,0.2672
PLD,59360.0,2.63,0.98,0.4551,0.0175,0.0591
PRU,20650.0,0.33,1.72,0.0473,0.0026,0.052000000000000005
PEG,22630.0,1.93,0.61,0.1459,0.0342,0.0959
PSA,34650.0,6.93,0.12,0.5154,0.08470000000000001,0.16829999999999998
PHM,5990.0,1.1,1.27,0.1002,0.0823,0.2014
PVH,6360.0,1.06,2.07,0.0421,0.0371,0.0713
QRVO,9330.0,2.13,1.41,0.1032,0.043,0.07730000000000001
PWR,4370.0,1.08,1.15,0.0265,0.043,0.087
QCOM,76240.0,16.89,1.38,0.1636,0.1573,1.1715
DGX,10760.0,1.91,1.37,0.1036,0.059800000000000006,0.1458
RL,8640.0,2.97,1.29,0.10400000000000001,0.0674,0.20550000000000002
RJF,8640.0,1.26,1.36,0.1219,0.0218,0.1449
RTX,81700.0,1.96,0.88,0.053399999999999996,0.045700000000000005,0.1079
O,17120.0,1.75,0.67,0.3045,0.0278,0.051399999999999994
REG,6500.0,1.05,0.98,0.1066,0.0226,0.02
REGN,54780.0,4.94,0.53,0.27399999999999997,0.10769999999999999,0.2113
RF,8590.0,0.57,1.7,0.25989999999999996,0.0103,0.08220000000000001
RSG,23960.0,2.94,0.62,0.1045,0.0499,0.1354
