Date,A,AA
2019-08-16,70.450333,17.52
2019-08-19,71.114403,18.23
2019-08-20,70.489983,18.309998999999998
2019-08-21,71.56041,18.469998999999998
2019-08-22,71.104485,18.049999
2019-08-23,68.933891,17.48
2019-08-26,69.023087,17.17
2019-08-27,68.86451,16.73
2019-08-28,69.320435,17.01
2019-08-29,70.07369200000001,17.799999
2019-08-30,70.480064,17.93
2019-09-03,69.786278,17.610001
2019-09-04,70.232285,18.280001000000002
2019-09-05,72.868721,19.620001000000002
2019-09-06,73.62198599999999,19.110001
2019-09-09,73.522873,20.299999
2019-09-10,74.10764300000001,20.83
2019-09-11,76.307976,22.18
2019-09-12,76.88284300000001,22.559998999999998
2019-09-13,77.20991500000001,22.889999
2019-09-16,76.46656,22.559998999999998
2019-09-17,75.723198,22.030001000000002
2019-09-18,76.88284300000001,21.67
2019-09-19,77.37841,21.940001000000002
2019-09-20,77.279297,21.700001
2019-09-23,77.3685,21.299999
2019-09-24,75.29701999999999,20.620001000000002
2019-09-25,75.65383100000001,21.5
2019-09-26,75.84214,20.99
2019-09-27,75.713295,20.610001
2019-09-30,76.11457800000001,20.07
2019-10-01,74.336617,19.860001
2019-10-02,72.85664399999999,19.299999
2019-10-03,73.37314599999999,19.049999
2019-10-04,75.369621,19.450001
2019-10-07,74.594872,19.25
2019-10-08,72.00241899999999,18.49
2019-10-09,72.975838,18.41
2019-10-10,73.502266,18.690001000000002
2019-10-11,74.793526,19.280001000000002
2019-10-14,74.67433199999999,19.17
2019-10-15,75.240501,19.459999
2019-10-16,74.76371800000001,19.16
2019-10-17,74.416077,20.299999
2019-10-18,74.068436,21.540001
2019-10-21,74.972321,20.469998999999998
2019-10-22,74.18763,20.73
2019-10-23,74.475677,21.280001000000002
2019-10-24,74.495544,20.74
2019-10-25,74.882919,21.02
2019-10-28,75.63781,21.52
2019-10-29,75.657677,21.6
2019-10-30,75.608009,21.290001
2019-10-31,75.240501,20.790001
2019-11-01,76.45229300000001,21.870001000000002
2019-11-04,76.223831,22.91
2019-11-05,75.041847,22.59
2019-11-06,75.280235,21.9
2019-11-07,75.399422,22.559998999999998
2019-11-08,76.124512,22.530001000000002
2019-11-11,76.333099,22.219998999999998
2019-11-12,76.531761,22.18
2019-11-13,76.641014,21.219998999999998
2019-11-14,76.243713,20.99
2019-11-15,77.73362,20.889999
2019-11-18,77.41577099999999,20.76
2019-11-19,78.756683,20.57
2019-11-20,77.991867,20.370001000000002
2019-11-21,77.77334599999999,20.15
2019-11-22,78.587837,20.559998999999998
2019-11-25,79.720169,20.440001000000002
2019-11-26,80.40550999999999,20.26
2019-11-27,80.534645,20.6
2019-11-29,80.22673,20.35
2019-12-02,79.809555,20.33
2019-12-03,79.561234,19.790001
2019-12-04,80.38565799999999,19.76
2019-12-05,80.981613,19.870001000000002
2019-12-06,81.657043,20.6
2019-12-09,81.071022,20.25
2019-12-10,82.3722,20.65
2019-12-11,82.858902,20.65
2019-12-12,84.23955500000001,21.26
2019-12-13,83.146957,20.690001000000002
2019-12-16,83.88198100000001,20.98
2019-12-17,83.385345,20.709999
2019-12-18,82.868843,20.950001
2019-12-19,83.941582,21.469998999999998
2019-12-20,84.61700400000001,21.23
2019-12-23,84.686531,21.48
2019-12-24,84.726265,21.58
2019-12-26,84.875252,21.450001
2019-12-27,84.845451,21.58
2019-12-30,84.50703399999999,21.34
2019-12-31,84.915131,21.51
