,Symbol,Security,GICS Sector,GICS Sub Industry,CIK
303,MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1048286
304,MMC,Marsh & McLennan,Financials,Insurance Brokers,62709
305,MLM,Martin Marietta Materials,Materials,Construction Materials,916076
306,MAS,Masco Corp.,Industrials,Building Products,62996
307,MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,1141391
308,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,63754
309,MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,743316
310,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,63908
311,MCK,McKesson Corp.,Health Care,Health Care Distributors,927653
312,MDT,Medtronic plc,Health Care,Health Care Equipment,1613103
313,MRK,Merck & Co.,Health Care,Pharmaceuticals,310158
314,MET,MetLife Inc.,Financials,Life & Health Insurance,1099219
315,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1037646
316,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,789570
317,MCHP,Microchip Technology,Information Technology,Semiconductors,827054
318,MU,Micron Technology,Information Technology,Semiconductors,723125
319,MSFT,Microsoft Corp.,Information Technology,Systems Software,789019
320,MAA,Mid-America Apartments,Real Estate,Residential REITs,912595
321,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,851968
322,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,24545
323,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,1103982
324,MNST,Monster Beverage,Consumer Staples,Soft Drinks,865752
325,MCO,Moody's Corp,Financials,Financial Exchanges & Data,1059556
326,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,895421
327,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,1285785
328,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,68505
329,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,1408198
330,MYL,Mylan N.V.,Health Care,Pharmaceuticals,1623613
331,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1120193
332,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,1021860
333,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1002047
334,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,1065280
335,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,814453
336,NEM,Newmont Corporation,Materials,Gold,1164727
337,NWSA,News Corp. Class A,Communication Services,Publishing,1564708
338,NWS,News Corp. Class B,Communication Services,Publishing,1564708
339,NEE,NextEra Energy,Utilities,Multi-Utilities,753308
340,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,1492633
341,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",320187
342,NI,NiSource Inc.,Utilities,Multi-Utilities,1111711
343,NBL,Noble Energy,Energy,Oil & Gas Exploration & Production,72207
344,NSC,Norfolk Southern Corp.,Industrials,Railroads,702165
345,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,73124
346,NOC,Northrop Grumman,Industrials,Aerospace & Defense,1133421
347,NLOK,NortonLifeLock,Information Technology,Application Software,849399
348,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1513761
349,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1013871
350,NUE,Nucor Corp.,Materials,Steel,73309
351,NVDA,Nvidia Corporation,Information Technology,Semiconductors,1045810
352,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,906163
353,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,898173
354,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,797468
355,ODFL,Old Dominion Freight Line,Industrials,Trucking,878927
356,OMC,Omnicom Group,Communication Services,Advertising,29989
357,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,1039684
358,ORCL,Oracle Corp.,Information Technology,Application Software,1341439
359,OTIS,Otis Worldwide,Industrials,Industrial Machinery,1781335
360,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,75362
361,PKG,Packaging Corporation of America,Materials,Paper Packaging,75677
362,PH,Parker-Hannifin,Industrials,Industrial Machinery,76334
363,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,723531
364,PAYC,Paycom,Information Technology,Application Software,1590955
365,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,1633917
366,PNR,Pentair plc,Industrials,Industrial Machinery,77360
367,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,1378946
368,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,77476
369,PKI,PerkinElmer,Health Care,Health Care Equipment,31791
370,PRGO,Perrigo,Health Care,Pharmaceuticals,1585364
371,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,78003
372,PM,Philip Morris International,Consumer Staples,Tobacco,1413329
373,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,1534701
374,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,764622
375,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,1038357
376,PNC,PNC Financial Services,Financials,Regional Banks,713676
377,PPG,PPG Industries,Materials,Specialty Chemicals,79879
378,PPL,PPL Corp.,Utilities,Electric Utilities,922224
379,PFG,Principal Financial Group,Financials,Life & Health Insurance,1126328
380,PG,Procter & Gamble,Consumer Staples,Personal Products,80424
381,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,80661
382,PLD,Prologis,Real Estate,Industrial REITs,1045609
383,PRU,Prudential Financial,Financials,Life & Health Insurance,1137774
384,PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,788784
385,PSA,Public Storage,Real Estate,Specialized REITs,1393311
386,PHM,PulteGroup,Consumer Discretionary,Homebuilding,822416
387,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",78239
388,QRVO,Qorvo,Information Technology,Semiconductors,1604778
389,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,1050915
390,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,804328
391,DGX,Quest Diagnostics,Health Care,Health Care Services,1022079
392,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1037038
393,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,720005
394,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,101829
395,O,Realty Income Corporation,Real Estate,Retail REITs,726728
396,REG,Regency Centers Corporation,Real Estate,Retail REITs,910606
397,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,872589
398,RF,Regions Financial Corp.,Financials,Regional Banks,1281761
399,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,1060391
400,RMD,ResMed,Health Care,Health Care Equipment,943819
401,RHI,Robert Half International,Industrials,Human Resource & Employment Services,315213
402,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,1024478
403,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,84839
404,ROP,Roper Technologies,Industrials,Industrial Conglomerates,882835
405,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,745732
406,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",884887
407,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,64040
408,CRM,Salesforce.com,Information Technology,Application Software,1108524
409,SBAC,SBA Communications,Real Estate,Specialized REITs,1034054
410,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,87347
411,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1137789
412,SEE,Sealed Air,Materials,Paper Packaging,1012100
413,SRE,Sempra Energy,Utilities,Multi-Utilities,1032208
414,NOW,ServiceNow,Information Technology,Systems Software,1373715
415,SHW,Sherwin-Williams,Materials,Specialty Chemicals,89800
416,SPG,Simon Property Group Inc,Real Estate,Retail REITs,1063761
417,SWKS,Skyworks Solutions,Information Technology,Semiconductors,4127
418,SLG,SL Green Realty,Real Estate,Office REITs,1040971
419,SNA,Snap-on,Industrials,Industrial Machinery,91440
420,SO,Southern Company,Utilities,Electric Utilities,92122
