BEAT,35102015
BECN,20107010
BELFB,45203015
BEN,40203010
BERY,15103010
BF/A,30201020
BF/B,30201020
BFAM,25302010
BFC,40101015
BFIN,40101015
BFS,60101070
BFST,40101015
BFYT,40301010
BG,30202010
BGCP,40203020
BGG,20106020
BGS,30202030
BGSF,20202010
BH,25301040
BHB,40101015
BHE,45203020
BHF,40301020
BHLB,40101015
BHR,60101030
BHVN,35201010
BIG,25503020
BIIB,35201010
BILL,45103010
BIO,35203010
BJ,30101040
BJRI,25301040
BK,40203010
BKD,35102020
BKE,25504010
BKH,55103010
BKI,45102020
BKNG,25502020
BKR,10101020
BKU,40101015
BL,45103010
BLBD,20106010
BLD,25201030
BLDR,20102010
BLFS,35101020
BLK,40203010
BLKB,45103010
BLL,15103010
BLMN,25301040
BLUE,35201010
BLX,40201040
BMCH,20107010
BMI,45203010
BMRC,40101015
BMRN,35201010
BMTC,40101015
BMY,35202010
BNED,25504040
BNFT,45103010
BOCH,40101015
BOH,40101015
BOKF,40101015
BOMN,50201010
BOOM,10101020
BOOT,25504010
BOX,45103010
BPFH,40101015
BPMC,35201010
BPOP,40101015
BPRN,40101015
BPYU,60101070
BR,45102020
BRBR,30302010
BRC,20201010
BREW,30201010
BRG,60101060
BRID,30202030
BRK/B,40201030
BRKL,40101015
BRKR,35203010
BRKS,45301010
BRO,40301010
BRP,40301010
BRT,60101060
BRX,60101070
BRY,10102020
BSET,25201020
BSGM,35101010
BSIG,40203010
BSRR,40101015
BSTC,35201010
BSVN,40101015
BSX,35101010
BTAI,35201010
BTU,10102050
BURL,25504010
BUSE,40101015
BV,20201050
BWA,25101010
BWB,40102010
BWFG,40101015
BWXT,20101010
BXC,20107010
BXG,25301020
BXMT,40204010
BXP,60101040
BXRX,35202010
BXS,40101015
BY,40101015
BYD,25301010
BYND,30202030
BYSI,35201010
BZH,25201030
C,40101010
CABA,35201010
CABO,50201030
CAC,40101015
CACC,40202010
CACI,45102010
CADE,40101015
CAG,30202030
CAH,35102010
CAI,20107010
CAKE,25301040
CAL,25504010
CALA,35201010
CALM,30202030
CALX,45201020
CAMP,45201020
CAR,20304020
CARA,35202010
CARE,40101015
CARG,50203010
CARR,20102010
CARS,50203010
CASA,45201020
CASH,40102010
CASI,35201010
CASS,45102020
CASY,30101030
CAT,20106010
CATC,40101015
CATM,45102020
CATO,25504010
CATS,35102015
CATY,40101015
CB,40301040
CBAN,40101015
CBAY,35202010
CBB,50101020
CBL,60101070
CBMG,35201010
CBNK,40101015
CBOE,40203040
CBRE,60102040
CBRL,25301040
CBSH,40101015
CBT,15101010
CBTX,40101015
CBU,40101015
CBZ,20202020
CC,15101020
CCB,40101015
CCBG,40101015
CCF,15101050
CCI,60101080
CCK,15103010
CCL,25301020
CCMP,45301010
CCNE,40101015
CCO,50201010
CCOI,50101010
CCRN,35102015
CCS,25201030
CCXI,35201010
CDAY,45103010
CDE,15104030
CDEV,10102020
CDK,45103010
CDLX,50201010
CDMO,35201010
CDNA,35201010
CDNS,45103010
CDR,60101070
CDW,45203030
CDXC,35203010
CDXS,35203010
CDZI,55104010
CE,15101050
CECE,20201050
CEIX,10102050
CELC,35201010
CELH,30201030
CENT,30301010
CENTA,30301010
CENX,15104010
CERC,35202010
CERN,35103010
CERS,35101020
CETV,50201020
CEVA,45301020
CF,15101030
CFB,40101015
CFFI,40101015
CFFN,40102010
CFG,40101015
CFMS,35101010
CFR,40101015
CFX,20106020
CGNX,45203010
CHAP,10102020
CHCO,40101015
CHCT,60101050
CHD,30301010
CHDN,25301010
CHE,35102015
CHEF,30101020
CHGG,25302010
CHH,25301020
CHK,10102020
CHMA,35202010
CHMG,40101015
CHMI,40204010
CHNG,35103010
CHRA,20201050
CHRS,35201010
CHRW,20301010
CHS,25504010
CHTR,50201030
CHUY,25301040
CI,35102015
CIA,40301020
CIEN,45201020
CIM,40204010
CINF,40301040
CIO,60101040
CIR,20106020
CIT,40101015
CIVB,40101015
CIX,20201060
CKH,10101020
CKPT,35201010
CL,30301010
CLAR,25202010
CLBK,40102010
CLCT,25302020
CLDR,45103010
CLDT,60101030
CLF,15104050
CLFD,45201020
CLGX,20202020
CLH,20201050
CLI,60101040
CLNC,40204010
CLNE,10102030
CLNY,60101010
CLPR,60101060
CLR,10102020
CLVS,35201010
CLW,15105020
CLX,30301010
CLXT,35201010
CMA,40101015
CMBM,45201020
CMC,15104050
CMCO,20106020
CMCSA,50201030
CMCT,60101040
CMD,35101010
CME,40203040
CMG,25301040
CMI,20106010
CMLS,50201020
CMO,40204010
CMP,15104020
CMPR,20201010
CMRE,20303010
CMRX,35201010
CMS,55103010
CMTL,45201020
CNA,40301040
CNBKA,40101015
CNC,35102030
CNCE,35201010
CNDT,45102020
CNK,50202010
CNMD,35101010
CNNE,40201030
CNO,40301020
CNOB,40101015
CNP,55103010
CNR,20102010
CNS,40203010
CNSL,50101020
CNST,35201010
CNTG,35201010
CNTY,25301010
CNX,10102020
CNXN,45203030
CODA,45203010
COF,40202010
COG,10102020
COHR,45203010
COHU,45301010
COKE,30201030
COLB,40101015
COLD,60101020
COLL,35202010
COLM,25203010
COMM,45201020
CONE,60101080
CONN,25504020
COO,35101020
COOP,40102010
COP,10102020
COR,60101080
CORE,25501010
CORR,60101080
CORT,35202010
COST,30101040
COTY,30302010
COUP,45103010
COWN,40203020
CPA,20302010
CPB,30202030
CPE,10102020
CPF,40101015
CPK,55102010
CPLG,60101030
CPRI,25203010
CPRT,20201070
CPRX,35201010
CPS,25101010
CPSI,35103010
CPT,60101060
CR,20106020
CRAI,20202020
CRBP,35201010
CRC,10102020
CRD/A,40301010
CREE,45301020
CRI,25203010
CRK,10102020
CRL,35203010
CRM,45103010
CRMD,35202010
CRMT,25504050
CRNC,45103010
CRNX,35201010
CROX,25203020
CRS,15104050
CRTX,35201010
CRUS,45301020
CRVL,35102015
CRY,35101010
CSCO,45201020
CSFL,40101015
CSGP,20202020
CSGS,45102020
CSII,35101010
CSL,20105010
CSLT,35103010
CSOD,45103010
CSPR,25201020
CSTE,20102010
CSTL,35201010
CSTR,40101015
CSV,25302020
CSWI,20102010
CSX,20304010
CTAS,20201070
CTB,25101020
CTBI,40101015
CTL,50101010
CTLT,35202010
CTMX,35201010
CTO,60102010
CTRA,15104050
CTRC,25203010
CTRE,60101050
CTRN,25504010
CTS,45203020
CTSH,45102010
CTSO,35101010
CTT,60101080
CTVA,15101030
CTXS,45103010
CUB,20101010
CUBE,60101080
CUBI,40101015
CUE,35201010
CULP,25203030
